dropout,batch_size,learning_rate,color_jitter,epoch,train_acc,val_acc


RUN 1/72 PARAMETERS: dropout=0.5, batch_size=32, learning_rate=0.001, color_jitter=0.1
0.5,32,1e-05,0.3,6,0.7369,0.7494
0.5,32,1e-05,0.3,7,0.7526,0.7601
0.5,32,1e-05,0.3,8,0.7677,0.7707
0.5,32,1e-05,0.3,9,0.7789,0.7862
0.5,32,1e-05,0.3,10,0.7890,0.7934


RUN 10/72 PARAMETERS: dropout=0.5, batch_size=64, learning_rate=0.001, color_jitter=0.1

0.5,64,0.001,0.1,1,0.8030,0.8816
0.5,64,0.001,0.1,2,0.8932,0.9083
0.5,64,0.001,0.1,3,0.9135,0.9164
0.5,64,0.001,0.1,4,0.9235,0.8980
0.5,64,0.001,0.1,5,0.9285,0.9234
0.5,64,0.001,0.1,6,0.9315,0.9291
0.5,64,0.001,0.1,7,0.9358,0.9401
0.5,64,0.001,0.1,8,0.9387,0.9421
0.5,64,0.001,0.1,9,0.9411,0.9393
0.5,64,0.001,0.1,10,0.9419,0.9361


RUN 11/72 PARAMETERS: dropout=0.5, batch_size=64, learning_rate=0.001, color_jitter=0.2

0.5,64,0.001,0.2,1,0.8062,0.8738
0.5,64,0.001,0.2,2,0.8928,0.9178
0.5,64,0.001,0.2,3,0.9137,0.9258
0.5,64,0.001,0.2,4,0.9249,0.9291
0.5,64,0.001,0.2,5,0.9313,0.9363
0.5,64,0.001,0.2,6,0.9357,0.9388
0.5,64,0.001,0.2,7,0.9382,0.9417
0.5,64,0.001,0.2,8,0.9409,0.9160
0.5,64,0.001,0.2,9,0.9439,0.9496
0.5,64,0.001,0.2,10,0.9454,0.8962


RUN 12/72 PARAMETERS: dropout=0.5, batch_size=64, learning_rate=0.001, color_jitter=0.3

0.5,64,0.001,0.3,1,0.8052,0.8757
0.5,64,0.001,0.3,2,0.8957,0.9074
0.5,64,0.001,0.3,3,0.9169,0.9064
0.5,64,0.001,0.3,4,0.9263,0.9346
0.5,64,0.001,0.3,5,0.9318,0.8183
0.5,64,0.001,0.3,6,0.9365,0.9410
0.5,64,0.001,0.3,7,0.9374,0.8783
0.5,64,0.001,0.3,8,0.9399,0.6278
0.5,64,0.001,0.3,9,0.9415,0.8881
0.5,64,0.001,0.3,10,0.9440,0.6761


RUN 13/72 PARAMETERS: dropout=0.5, batch_size=64, learning_rate=0.0001, color_jitter=0.1

0.5,64,0.0001,0.1,1,0.6457,0.7205
0.5,64,0.0001,0.1,2,0.7583,0.7889
0.5,64,0.0001,0.1,3,0.8097,0.8215
0.5,64,0.0001,0.1,4,0.8417,0.8553
0.5,64,0.0001,0.1,5,0.8632,0.8666
0.5,64,0.0001,0.1,6,0.8792,0.8810
0.5,64,0.0001,0.1,7,0.8923,0.8871
0.5,64,0.0001,0.1,8,0.9011,0.8883
0.5,64,0.0001,0.1,9,0.9104,0.8919
0.5,64,0.0001,0.1,10,0.9188,0.8940


RUN 14/72 PARAMETERS: dropout=0.5, batch_size=64, learning_rate=0.0001, color_jitter=0.2

0.5,64,0.0001,0.2,1,0.6590,0.7506
0.5,64,0.0001,0.2,2,0.7763,0.8047
0.5,64,0.0001,0.2,3,0.8165,0.8356
0.5,64,0.0001,0.2,4,0.8443,0.8540
0.5,64,0.0001,0.2,5,0.8639,0.8678
0.5,64,0.0001,0.2,6,0.8777,0.8812
0.5,64,0.0001,0.2,7,0.8884,0.8879
0.5,64,0.0001,0.2,8,0.9010,0.8954
0.5,64,0.0001,0.2,9,0.9105,0.8957
0.5,64,0.0001,0.2,10,0.9178,0.8921


RUN 15/72 PARAMETERS: dropout=0.5, batch_size=64, learning_rate=0.0001, color_jitter=0.3

0.5,64,0.0001,0.3,1,0.6707,0.7299
