dropout,batch_size,learning_rate,color_jitter,epoch,train_acc,val_acc


RUN 1/72 PARAMETERS: dropout=0.5, batch_size=32, learning_rate=0.001, color_jitter=0.1
0.5,32,0.0001,0.2,15,0.9590,0.9285
0.5,32,0.0001,0.2,16,0.9634,0.9264
0.5,32,0.0001,0.2,17,0.9664,0.9264
0.5,32,0.0001,0.2,18,0.9672,0.9262
0.5,32,0.0001,0.2,19,0.9699,0.9243
0.5,32,0.0001,0.2,20,0.9752,0.9232


RUN 6/72 PARAMETERS: dropout=0.5, batch_size=32, learning_rate=0.0001, color_jitter=0.3

0.5,32,0.0001,0.3,1,0.6642,0.7812
0.5,32,0.0001,0.3,2,0.7994,0.8417
0.5,32,0.0001,0.3,3,0.8450,0.8699
0.5,32,0.0001,0.3,4,0.8746,0.8862
0.5,32,0.0001,0.3,5,0.8940,0.9012
0.5,32,0.0001,0.3,6,0.9062,0.9095
0.5,32,0.0001,0.3,7,0.9166,0.9142
0.5,32,0.0001,0.3,8,0.9238,0.9182
0.5,32,0.0001,0.3,9,0.9301,0.9127
0.5,32,0.0001,0.3,10,0.9344,0.9231
0.5,32,0.0001,0.3,11,0.9389,0.9217
0.5,32,0.0001,0.3,12,0.9436,0.9232
0.5,32,0.0001,0.3,13,0.9456,0.9248
0.5,32,0.0001,0.3,14,0.9482,0.9253
0.5,32,0.0001,0.3,15,0.9500,0.9271
0.5,32,0.0001,0.3,16,0.9529,0.9263
0.5,32,0.0001,0.3,17,0.9566,0.9260
0.5,32,0.0001,0.3,18,0.9584,0.9263
0.5,32,0.0001,0.3,19,0.9608,0.9199
0.5,32,0.0001,0.3,20,0.9619,0.9258


RUN 7/72 PARAMETERS: dropout=0.5, batch_size=32, learning_rate=1e-05, color_jitter=0.1

0.5,32,1e-05,0.1,1,0.5594,0.5807
0.5,32,1e-05,0.1,2,0.5924,0.6109
0.5,32,1e-05,0.1,3,0.6268,0.6413
0.5,32,1e-05,0.1,4,0.6522,0.6661
0.5,32,1e-05,0.1,5,0.6744,0.6830
0.5,32,1e-05,0.1,6,0.6946,0.7019
0.5,32,1e-05,0.1,7,0.7110,0.7170
0.5,32,1e-05,0.1,8,0.7259,0.7375
0.5,32,1e-05,0.1,9,0.7454,0.7525
0.5,32,1e-05,0.1,10,0.7571,0.7647
0.5,32,1e-05,0.1,11,0.7665,0.7761
0.5,32,1e-05,0.1,12,0.7762,0.7846
0.5,32,1e-05,0.1,13,0.7852,0.7951
0.5,32,1e-05,0.1,14,0.7952,0.8004
0.5,32,1e-05,0.1,15,0.8032,0.8032
0.5,32,1e-05,0.1,16,0.8100,0.8113
0.5,32,1e-05,0.1,17,0.8151,0.8120
0.5,32,1e-05,0.1,18,0.8220,0.8237
0.5,32,1e-05,0.1,19,0.8278,0.8277
0.5,32,1e-05,0.1,20,0.8322,0.8312


RUN 8/72 PARAMETERS: dropout=0.5, batch_size=32, learning_rate=1e-05, color_jitter=0.2

0.5,32,1e-05,0.2,1,0.6098,0.6462
0.5,32,1e-05,0.2,2,0.6534,0.6732
0.5,32,1e-05,0.2,3,0.6804,0.6956
0.5,32,1e-05,0.2,4,0.7035,0.7124
0.5,32,1e-05,0.2,5,0.7210,0.7286
0.5,32,1e-05,0.2,6,0.7349,0.7433
0.5,32,1e-05,0.2,7,0.7467,0.7540
0.5,32,1e-05,0.2,8,0.7586,0.7598
0.5,32,1e-05,0.2,9,0.7678,0.7678
0.5,32,1e-05,0.2,10,0.7786,0.7778
0.5,32,1e-05,0.2,11,0.7869,0.7934
0.5,32,1e-05,0.2,12,0.7957,0.7944
0.5,32,1e-05,0.2,13,0.8001,0.8002
0.5,32,1e-05,0.2,14,0.8058,0.8086
0.5,32,1e-05,0.2,15,0.8126,0.8140
0.5,32,1e-05,0.2,16,0.8188,0.8236
0.5,32,1e-05,0.2,17,0.8239,0.8264
0.5,32,1e-05,0.2,18,0.8298,0.8288
0.5,32,1e-05,0.2,19,0.8327,0.8305
0.5,32,1e-05,0.2,20,0.8386,0.8385


RUN 9/72 PARAMETERS: dropout=0.5, batch_size=32, learning_rate=1e-05, color_jitter=0.3

0.5,32,1e-05,0.3,1,0.5585,0.5944
0.5,32,1e-05,0.3,2,0.6053,0.6289
0.5,32,1e-05,0.3,3,0.6363,0.6530
0.5,32,1e-05,0.3,4,0.6566,0.6663
0.5,32,1e-05,0.3,5,0.6747,0.6903
0.5,32,1e-05,0.3,6,0.6968,0.7036
0.5,32,1e-05,0.3,7,0.7128,0.7222
0.5,32,1e-05,0.3,8,0.7294,0.7346
0.5,32,1e-05,0.3,9,0.7426,0.7510
0.5,32,1e-05,0.3,10,0.7557,0.7597
0.5,32,1e-05,0.3,11,0.7687,0.7766
0.5,32,1e-05,0.3,12,0.7780,0.7833
0.5,32,1e-05,0.3,13,0.7867,0.7913
0.5,32,1e-05,0.3,14,0.7946,0.7963
0.5,32,1e-05,0.3,15,0.8015,0.8074
0.5,32,1e-05,0.3,16,0.8097,0.8102
0.5,32,1e-05,0.3,17,0.8161,0.8191
0.5,32,1e-05,0.3,18,0.8204,0.8247
0.5,32,1e-05,0.3,19,0.8257,0.8282
0.5,32,1e-05,0.3,20,0.8308,0.8299


RUN 10/72 PARAMETERS: dropout=0.5, batch_size=64, learning_rate=0.001, color_jitter=0.1

0.5,64,0.001,0.1,1,0.8051,0.8772
0.5,64,0.001,0.1,2,0.8919,0.9112
0.5,64,0.001,0.1,3,0.9132,0.9143
0.5,64,0.001,0.1,4,0.9248,0.7931
0.5,64,0.001,0.1,5,0.9298,0.9205
0.5,64,0.001,0.1,6,0.9344,0.6519
0.5,64,0.001,0.1,7,0.9379,0.9375
0.5,64,0.001,0.1,8,0.9402,0.9336
0.5,64,0.001,0.1,9,0.9417,0.9145
0.5,64,0.001,0.1,10,0.9435,0.9401
0.5,64,0.001,0.1,11,0.9447,0.9443
0.5,64,0.001,0.1,12,0.9458,0.9368
0.5,64,0.001,0.1,13,0.9458,0.8877
0.5,64,0.001,0.1,14,0.9484,0.8918
0.5,64,0.001,0.1,15,0.9493,0.8491
0.5,64,0.001,0.1,16,0.9574,0.8563
0.5,64,0.001,0.1,17,0.9594,0.9369
0.5,64,0.001,0.1,18,0.9605,0.7729
0.5,64,0.001,0.1,19,0.9617,0.9106
